Date,AddTicker,RemovedTicker,CURRENT TICKERS,STARTING TICKERS
1/3/00,NCR,,MMM,AA
1/5/00,YNR,NLV,AOS,AAPL
1/28/00,BGEN,FWLT,ABT,ABI
1/28/00,CNXT,CNG,ABBV,ABS
1/28/00,HOG,FLE,ABMD,ABT
3/15/00,TSG,SCI,ACN,ABX
3/31/00,LLTC,PNU,ATVI,ACKH
3/31/00,,PBY,ADM,ACV
5/4/00,SEBL,,ADBE,ADBE
5/4/00,SAPE,RLM,ADP,ADCT
5/9/00,MXIM,JOS,AAP,ADI
5/31/00,APCC,,AES,ADM
6/2/00,A,NC,AFL,ADP
6/7/00,SBUX,SMS,A,SXCL
6/12/00,CVG,TMC.A,AIG,ADSK
6/15/00,MEDI,CSR,APD,AEE
6/15/00,,UMG,AKAM,AEP
6/16/00,,CHA,ALK,AES
6/20/00,SANM,WLA,ALB,AET
6/20/00,TIF,,ARE,AFL
6/28/00,MERQ,MZ,ALGN,AFS.A
6/28/00,VC,IKN,ALLE,AGC
6/30/00,BRCM,,LNT,AGN
7/5/00,,USW,ALL,AIG
7/12/00,JNS,KSU,GOOGL,ALL
7/14/00,CIT,UPR,GOOG,AM
7/26/00,VIAV,RAD,MO,AMAT
7/27/00,PALM,COMS,AMZN,AMD
8/18/00,KSE,NCE,AMCR,AMGN
8/29/00,DVN,GAP,AMD,ANDW
9/29/00,AV,OC,AEE,AON
10/2/00,KG,YNR,AAL,APA
10/2/00,MCO,DNB,AEP,APC
10/2/00,DYN,BFO,AXP,APD
10/17/00,NBR,MKG,AMT,ASH
10/20/00,PWER,UCM,AWK,ASO
11/1/00,NI,CG,AMP,ATI
11/1/00,EOG,EFU,ABC,AVP
11/3/00,BVSN,PWJ,AME,AVY
11/16/00,HOT,ACKH,AMGN,AW
11/21/00,FRX,SEG,APH,AXP
11/22/00,CHIR,FJ,ADI,AZA.A
11/30/00,CPN,FPC,ANSS,AZO
12/1/00,,AFS.A,ANTM,BA
12/4/00,RHI,,AON,BAC
12/8/00,AYE,BS,APA,BAX
12/8/00,AMBC,CCK,AAPL,BBBY
12/8/00,SBL,GRA,AMAT,TFC
12/8/00,MET,VO,APTV,BBY
12/8/00,INTU,OI,ANET,BC
12/11/00,VTSS,SMI,AJG,BCR
12/11/00,SYK,RML,AIZ,BDK
12/11/00,QLGC,PRD,T,BDX
12/11/00,KMI,NGH,ATO,BEN
12/21/00,FLR,MEE,ADSK,BF.B
12/29/00,AMCC,,AZO,BFO
1/12/01,NE,,AVB,BGG
1/29/01,JBL,CGP,AVY,BKR
2/6/01,UVN,UK,BKR,BIG
2/26/01,FTR,,BLL,BK
2/28/01,CTAS,SUB,BAC,BLL
3/30/01,,CEN,BBWI,BLS
3/30/01,FISV,OK,BAX,BMMI
4/2/01,,BGG,BDX,BMET
5/11/01,PBG,SXCL,BRK.B,BMS
6/1/01,MWW,CIT,BBY,BMY
6/22/01,ZION,AZA.A,BIO,BNI
6/27/01,JHF,,TECH,BOL
6/29/01,COL,LDG,BIIB,BS
7/6/01,AWE,PCH,BLK,BSC
8/2/01,PMCS,OAT,BK,BSX
8/3/01,FDO,ETS,BA,C
8/6/01,ZBH,TKR,BKNG,CA
8/29/01,CIEN,AGC,BWA,CAG
8/29/01,ABC,OKE,BXP,CAH
8/31/01,XL,,BSX,CAT
8/31/01,,BVSN,BMY,CBE
9/17/01,,TOS,AVGO,VIAC
9/20/01,IMNX,,BR,CCE
10/9/01,TE,,BRO,CCK
10/9/01,EOP,TX,BF.B,CCL
11/6/01,HMA,GPU,CHRW,CAR
11/29/01,NVDA,ENRNQ,CDNS,CEG
11/30/01,EQR,NSI,CZR,CEN
12/12/01,,RAL,CPB,CFC
12/13/01,GENZ,,COF,CG
12/14/01,JNY,HM,CAH,CGP
12/31/01,WAT,FMC,KMX,CHA
1/16/02,PCL,KM,CCL,CI
1/29/02,CB,MEA,CARR,CIN
1/31/02,RATL,NMK,CTLT,CINF
2/8/02,MI,,CAT,CL
5/3/02,FHN,CPQ,CBOE,CLX
5/10/02,,SAPE,CBRE,CMA
5/14/02,BJS,U,CDW,CMI
5/14/02,APOL,WCOM,CE,CMS
6/25/02,SPG,CNXT,CNC,CMVT
7/16/02,NFB,IMNX,CNP,CNG
7/19/02,EA,PDG,CDAY,CNO
7/19/02,UPS,RD,CERN,CNP
7/19/02,GS,UN,CF,COC.B
7/19/02,PRU,NT,CRL,COF
7/19/02,EBAY,,SCHW,COMS
7/19/02,PFG,ABX,CHTR,COP
7/19/02,SDS,,CVX,COST
7/24/02,ANTM,CNO,CMG,CPB
8/13/02,MON,PALM,CB,CPQ
8/20/02,TAP.B,VTSS,CHD,CPWR
8/30/02,,COC.B,CI,CR
9/3/02,RAI,,CINF,CSC
11/18/02,CMCSA,,CTAS,CSCO
12/11/02,DGX,,CSCO,CSR
2/21/03,AN,RATL,C,CSX
